1587831213.676000 1R11 0000038B F8 40 00 05
1587831213.677000 1R11 0000038C 90 40 00 83
1587831213.678000 1R11 0000038D E8 00 00 00 00 50 47
1587831213.679000 1R11 0000038B 77 41 00 05
1587831213.680000 1R11 0000038C 1F 41 00 83
1587831213.681000 1R11 0000038D AE 01 00 00 00 50 47
1587831213.682000 1R11 0000038B FB 42 00 05
1587831213.683000 1R11 0000038C 93 42 00 83
1587831213.684000 1R11 0000038D 64 02 00 00 00 50 47
1587831213.685000 1R11 0000038B 74 43 00 05
1587831213.686000 1R11 0000038C 1C 43 00 83
1587831213.687000 1R11 0000038D 22 03 00 00 00 50 47
1587831213.688000 1R11 0000038B FE 44 00 05
1587831213.689000 1R11 0000038C 96 44 00 83
1587831213.690000 1R11 0000038D ED 04 00 00 00 50 47
1587831213.691000 1R11 0000038B 71 45 00 05
1587831213.692000 1R11 0000038C 19 45 00 83 
1587831213.693000 1R11 0000038D AB 05 00 00 00 50 47
1587831213.694000 1R11 0000038B FD 46 00 05
1587831213.695000 1R11 0000038C 95 46 00 83
1587831213.696000 1R11 0000038D 61 06 00 00 00 50 47
1587831213.697000 1R11 0000038B 72 47 00 05
1587831213.698000 1R11 0000038C 1A 47 00 83 
1587831213.699000 1R11 0000038D 27 07 00 00 00 50 47
1587831213.700000 1R11 0000038B F4 48 00 05
1587831213.701000 1R11 0000038C 9C 48 00 83 
1587831213.702000 1R11 0000038D E2 08 00 00 00 50 47
1587831213.703000 1R11 0000038B 7B 49 00 05
1587831213.704000 1R11 0000038C 13 49 00 83
1587831213.705000 1R11 0000038D A4 09 00 00 00 50 47
1587831213.706000 1R11 0000038B F7 4A 00 05
1587831213.707000 1R11 0000038C 9F 4A 00 83  
1587831213.708000 1R11 0000038D 6E 0A 00 00 00 50 47
1587831213.709000 1R11 0000038B 78 4B 00 05
1587831213.710000 1R11 0000038C 10 4B 00 83 
1587831213.711000 1R11 0000038D 28 0B 00 00 00 50 47
1587831213.712000 1R11 0000038B F2 4C 00 05
1587831213.713000 1R11 0000038C 9A 4C 00 83
1587831213.714000 1R11 0000038D E7 0C 00 00 00 50 47
1587831213.715000 1R11 0000038B 7D 4D 00 05
1587831213.716000 1R11 0000038C 15 4D 00 83  
1587831213.717000 1R11 0000038D A1 0D 00 00 00 50 47
1587831213.718000 1R11 0000038B F1 4E 00 05
1587831213.719000 1R11 0000038C 99 4E 00 83 
1587831213.720000 1R11 0000038D 6B 0E 00 00 00 50 47
1587831213.721000 1R11 0000038B 7E 4F 00 05
1587831213.722000 1R11 0000038C 16 4F 00 83  
1587831213.723000 1R11 0000038D 2D 0F 00 00 00 50 47
